#OTU ID,592160,949863,48899,266445,158404,393504,194656,279235,357529,268220,145572,716286,353782,15129,348404,692154,1110008,176775,696563,522961,356529,422727,318764,128227,188889,303326,813944,580121,1131759
CC16D,0.5,0.8,0,0,3.5,0,0,9,20,0.5,1.666666667,0,0.2,0,0,1,0,2.4,1,0,0.75,0,0,0.25,2.75,0,0.166666667,13.75,2.5
CC24D,0.166666667,0,0.5,0.5,3,0,0,5.5,8.75,0.25,1.333333333,0,3.4,0,0,0.2,0,0,7,0,2.25,0.5,0,0,9.75,0,0,2.25,1.5
CC23C,0.666666667,0.2,0,0,0,0,0.5,0.5,3.75,3.5,0.333333333,0,10.4,0,1,0.4,4.25,0,5,0,2,0,0,0,1.25,0.25,0.166666667,1,0
CC22C,0.333333333,0,0,0.25,6,0,0,0,2.5,1,0,0,5.2,0,0,1.4,0,0,4,0,18.75,0,0,0,14.75,0.25,0.166666667,2.25,0
CC13C,0.166666667,0,0.25,0.25,1.5,0.5,0.25,6.5,9,0.25,5,0,0.6,0,0,0,0.5,0,4,0,2,0,0.166666667,0,11.25,0.5,0,4.25,0
CC15C,0.666666667,0.4,0,2.75,2.5,0,0,3,1.75,0,3.666666667,0,0.6,0,0,1.6,0.25,1,2,0,12.25,0,0,0,4.25,0,0.5,3.25,0
CC17B,0.166666667,0.2,0,0.25,0,0,0,0,0.75,0,0,0,4.4,0,0.75,1.6,0,0,2,0,1.5,0,0,0,12.5,0.25,0.166666667,0.25,0
CC20C,0,0.2,0,0,0.5,0,0.5,25.5,5.5,0,0.666666667,0,0.2,0,0,0.6,0,0.2,4,0,2.25,0,0,0.25,3.25,0.25,0.166666667,0.5,0.5
CC19C,0,0.2,0.25,0.25,1.5,0.5,0,0,1.5,4.75,0,0,0.6,0,0,1.4,1.5,0,2,0,1.5,0,0,0,16,0,0,0.25,0
CC16C,0,0,0,0,1,0,0,2.5,3,0,0.666666667,0,0.6,0,0,0,0,0.2,4,0,0.75,0,0.166666667,0,0.75,0,0,0,0.5
taxonomy,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae; g__; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__
